income,credit_history,employment_status,debt_to_income_ratio,credit_score,loan_amount,level_of_education,loan_status
624.3561663863075,1,Employed,0.9646552794054187,534.8248832491545,9016.375396861997,Not Graduate,Approved
1431.0000289738825,0,Employed,0.5495942460408244,703.4357466442272,5048.497174284528,Not Graduate,Not Approved
1124.791518535967,1,Self-employed,0.20088865931568292,856.1775484521686,6719.38542619052,Graduate,Approved
938.1218778758513,0,Employed,0.4966892212928872,629.6036729787019,8964.806740605694,Graduate,Not Approved
318.4260966194111,0,Employed,0.5310735053081242,682.3144839925051,3718.512512833077,Graduate,Not Approved
318.3923284706837,0,Self-employed,0.9072946703671065,802.4561749302445,5885.930852934835,Not Graduate,Not Approved
181.31705703547925,1,Employed,0.4553206916166578,775.4673341075148,9685.934573829352,Graduate,Approved
1312.6466040849093,0,Employed,0.9579918383984245,706.1839081724851,5788.814411957475,Graduate,Not Approved
941.5610164404924,1,Self-employed,0.5366187169429013,694.1471473936558,4022.6355615643224,Not Graduate,Not Approved
1091.3016089144637,0,Self-employed,0.9764024508810359,576.4442424631836,4808.609909945906,Not Graduate,Not Approved
128.81829201412341,1,Unemployed,0.10737848901786598,749.11528208978,9080.672954987573,Graduate,Not Approved
1457.873793026792,0,Employed,0.908933837325712,565.6624987588597,9639.064310140402,Not Graduate,Not Approved
1265.4196971205904,1,Unemployed,0.9380084067490156,493.481512787881,9600.861141489113,Graduate,Approved
397.2747549495866,1,Unemployed,0.964918842188692,800.8103069449935,7591.53913574857,Not Graduate,Not Approved
354.5549540899409,1,Self-employed,0.11176888075715337,738.6986298393111,6076.815110596899,Not Graduate,Not Approved
356.76631379480733,1,Employed,0.2545307528952781,787.9735695057864,3461.5114792587347,Not Graduate,Approved
525.9391401433528,1,Employed,0.6883880527839126,626.3490346065342,2985.7680965637164,Not Graduate,Approved
834.6590042851329,1,Self-employed,0.12292542256159643,746.6363966175599,2478.13286113077,Not Graduate,Not Approved
704.7230260989621,0,Unemployed,0.15724809655885066,656.0932101367121,2141.719276071754,Not Graduate,Not Approved
